Date,Open,High,Low,Close,Adj Close,Volume
2019-07-26,1.704222,1.833167,1.261695,1.327436,1.327436,12088575.0
2019-07-27,1.327436,1.402898,1.221938,1.310566,1.310566,6033446.0
2019-07-28,1.310566,1.368595,1.236858,1.272989,1.272989,1643709.0
2019-07-29,1.26227,1.375941,1.175443,1.294661,1.294661,3966802.0
2019-07-30,1.294435,1.374333,1.266484,1.294193,1.294193,1820705.0
2019-07-31,1.285383,1.328408,1.265267,1.300102,1.300102,1155167.0
2019-08-01,1.296501,1.359368,1.275322,1.277984,1.277984,884021.0
2019-08-02,1.275814,1.353228,1.214966,1.267515,1.267515,1356086.0
2019-08-03,1.266759,1.280283,1.242452,1.260598,1.260598,453826.0
2019-08-04,1.260728,1.262852,1.193687,1.246172,1.246172,459244.0
2019-08-05,1.245987,1.283797,1.157725,1.189715,1.189715,1349148.0
2019-08-06,1.188767,1.276295,1.054383,1.151045,1.151045,3368956.0
2019-08-07,1.150821,1.162882,1.074016,1.113777,1.113777,1486227.0
2019-08-08,1.113777,1.229501,1.101598,1.201073,1.201073,2315297.0
2019-08-09,1.203592,1.284628,1.192226,1.218385,1.218385,2464328.0
2019-08-10,1.218385,1.219132,1.091341,1.135121,1.135121,368141.0
2019-08-11,1.135987,1.293552,1.086923,1.274126,1.274126,1132766.0
2019-08-12,1.274621,1.390052,1.142531,1.283668,1.283668,998899.0
2019-08-13,1.281248,1.420319,1.119127,1.38663,1.38663,1803284.0
2019-08-14,1.386473,1.419507,1.253862,1.304455,1.304455,1728173.0
2019-08-15,1.304455,1.357462,1.236986,1.320667,1.320667,1356818.0
2019-08-16,1.320523,1.332279,1.195683,1.295352,1.295352,591424.0
2019-08-17,1.295528,1.367662,1.234901,1.317028,1.317028,546837.0
2019-08-18,1.31708,1.334148,1.216852,1.3031,1.3031,321801.0
2019-08-19,1.311936,1.356465,1.208457,1.313294,1.313294,2010263.0
2019-08-20,1.313294,2.06093,1.223061,1.260043,1.260043,1210425.0
2019-08-21,1.259977,1.332083,1.217472,1.29585,1.29585,3356431.0
2019-08-22,1.295902,1.296636,1.169965,1.222157,1.222157,2135163.0
2019-08-23,1.222157,1.229646,1.147925,1.183878,1.183878,1760916.0
2019-08-24,1.183827,1.185061,1.11544,1.169629,1.169629,1146409.0
2019-08-25,1.169629,1.262643,1.122228,1.236132,1.236132,1800194.0
2019-08-26,1.23874,1.256968,1.164732,1.173437,1.173437,1391334.0
2019-08-27,1.173558,1.228514,1.126747,1.15868,1.15868,2017929.0
2019-08-28,1.158398,1.188416,1.108526,1.120515,1.120515,2265633.0
2019-08-29,1.120397,1.191947,1.104951,1.147149,1.147149,1913203.0
2019-08-30,1.147149,1.185286,1.136572,1.168323,1.168323,2300788.0
2019-08-31,1.168981,1.187353,1.141653,1.174294,1.174294,3991012.0
2019-09-01,1.173598,1.177177,1.146032,1.159169,1.159169,6171179.0
2019-09-02,1.159168,1.169448,1.143586,1.156888,1.156888,6692015.0
2019-09-03,1.156547,1.243003,1.110371,1.232597,1.232597,16167679.0
2019-09-04,1.232113,1.232509,1.132646,1.177957,1.177957,1482794.0
2019-09-05,1.17782,1.190473,1.14731,1.160801,1.160801,1016782.0
2019-09-06,1.160801,1.185879,1.132595,1.133196,1.133196,2075319.0
2019-09-07,1.133428,1.169357,1.055637,1.163801,1.163801,1737239.0
2019-09-08,1.163391,1.172456,1.150102,1.154355,1.154355,926440.0
2019-09-09,1.154355,1.157475,1.100108,1.114351,1.114351,1702167.0
2019-09-10,1.114741,1.119922,1.045548,1.091594,1.091594,1254315.0
2019-09-11,1.091496,1.098128,1.05461,1.063767,1.063767,1598164.0
2019-09-12,1.063767,1.068265,1.04965,1.064888,1.064888,849827.0
2019-09-13,1.064939,1.065328,1.050174,1.05731,1.05731,767689.0
2019-09-14,1.056994,1.066346,1.055102,1.060435,1.060435,737729.0
2019-09-15,1.060427,1.067347,1.049734,1.054116,1.054116,705183.0
2019-09-16,1.054081,1.055711,1.00434,1.013854,1.013854,908818.0
2019-09-17,1.011844,1.061422,0.99299,1.046056,1.046056,1343386.0
2019-09-18,1.046031,1.056404,1.041813,1.04298,1.04298,722895.0
2019-09-19,1.043554,1.043554,0.981857,0.996139,0.996139,1112326.0
2019-09-20,0.990104,1.820274,0.974674,0.987311,0.987311,762875.0
2019-09-21,0.986791,0.987768,0.966214,0.971173,0.971173,489676.0
2019-09-22,0.971065,0.972718,0.932716,0.972718,0.972718,620521.0
2019-09-23,0.972529,0.982418,0.94625,0.960497,0.960497,740906.0
2019-09-24,0.960314,0.969895,0.825735,0.825735,0.825735,951554.0
2019-09-25,0.826322,0.849534,0.820752,0.842514,0.842514,1227715.0
2019-09-26,0.842332,0.847726,0.802627,0.819237,0.819237,928236.0
2019-09-27,0.825129,0.832148,0.810676,0.82703,0.82703,884277.0
2019-09-28,0.827083,0.845306,0.82372,0.836082,0.836082,626666.0
2019-09-29,0.836365,0.846136,0.817657,0.835145,0.835145,558986.0
2019-09-30,0.835145,1.027535,0.824228,1.025131,1.025131,1519589.0
2019-10-01,1.028346,1.076176,0.901167,0.901167,0.901167,2180008.0
2019-10-02,0.901167,0.904285,0.817664,0.829535,0.829535,1716771.0
2019-10-03,0.829535,0.834046,0.765337,0.765337,0.765337,1802224.0
